"Request Source	Country Code	Asset Id	Originating System ID"
"FEDORA	AT	9923880060801921	oai:bir.brandeis.edu:10192/28573"
"FEDORA	AT	9923880063701921	oai:bir.brandeis.edu:10192/33896"
"FEDORA	AT	9923880064401921	oai:bir.brandeis.edu:10192/25030"
"FEDORA	AT	9923880067001921	oai:bir.brandeis.edu:10192/23867"
"FEDORA	AT	9923880067901921	oai:bir.brandeis.edu:10192/25270"
"FEDORA	AT	9923880071901921	oai:bir.brandeis.edu:10192/33873"
"FEDORA	AT	9923880073601921	oai:bir.brandeis.edu:10192/33270"
"FEDORA	AT	9923880075801921	oai:bir.brandeis.edu:10192/30618"
"FEDORA	AT	9923880076701921	oai:bir.brandeis.edu:10192/32311"
"FEDORA	AT	9923880078101921	oai:bir.brandeis.edu:10192/33650"
"FEDORA	AT	9923880078301921	oai:bir.brandeis.edu:10192/28593"
"FEDORA	AT	9923880079201921	oai:bir.brandeis.edu:10192/31987"
"FEDORA	AT	9923880083701921	oai:bir.brandeis.edu:10192/25093"
"FEDORA	AT	9923880084001921	oai:bir.brandeis.edu:10192/30477"
"FEDORA	AT	9923880089601921	oai:bir.brandeis.edu:10192/25290"
"FEDORA	AT	9923880089901921	oai:bir.brandeis.edu:10192/25350"
"FEDORA	AT	9923880090301921	oai:bir.brandeis.edu:10192/25196"
"FEDORA	AT	9923880093001921	oai:bir.brandeis.edu:10192/33711"
"FEDORA	AT	9923880183201921	oai:bir.brandeis.edu:10192/30680"
"FEDORA	AT	9923880184801921	oai:bir.brandeis.edu:10192/27571"
"FEDORA	AT	9923880186401921	oai:bir.brandeis.edu:10192/31819"
"FEDORA	AT	9923880289401921	oai:bir.brandeis.edu:10192/31111"
"FEDORA	AU	9923879925101921	oai:bir.brandeis.edu:10192/24590"
"FEDORA	AU	9923879925201921	oai:bir.brandeis.edu:10192/24065"
"FEDORA	AU	9923879925301921	oai:bir.brandeis.edu:10192/27057"
"FEDORA	AU	9923879928001921	oai:bir.brandeis.edu:10192/30515"
"FEDORA	AU	9923879928201921	oai:bir.brandeis.edu:10192/25095"
"FEDORA	AU	9923879929501921	oai:bir.brandeis.edu:10192/32317"
"FEDORA	AU	9923879930801921	oai:bir.brandeis.edu:10192/27240"
"FEDORA	AU	9923879931001921	oai:bir.brandeis.edu:10192/24257"
"FEDORA	AU	9923879931101921	oai:bir.brandeis.edu:10192/27272"
"FEDORA	AU	9923879931301921	oai:bir.brandeis.edu:10192/34131"
"FEDORA	AU	9923879931801921	oai:bir.brandeis.edu:10192/27070"
"FEDORA	AU	9923879932601921	oai:bir.brandeis.edu:10192/34132"
"FEDORA	AU	9923879933001921	oai:bir.brandeis.edu:10192/31814"
"FEDORA	AU	9923879933901921	oai:bir.brandeis.edu:10192/32276"
"FEDORA	AU	9923879934001921	oai:bir.brandeis.edu:10192/33850"
"FEDORA	AU	9923879934301921	oai:bir.brandeis.edu:10192/31110"
"FEDORA	AU	9923879934901921	oai:bir.brandeis.edu:10192/28572"
"FEDORA	AU	9923879935601921	oai:bir.brandeis.edu:10192/32350"
"FEDORA	AU	9923879936001921	oai:bir.brandeis.edu:10192/24400"
"FEDORA	AU	9923879937301921	oai:bir.brandeis.edu:10192/24359"
"FEDORA	AU	9923879937401921	oai:bir.brandeis.edu:10192/23250"
"FEDORA	AU	9923879938301921	oai:bir.brandeis.edu:10192/30598"
"FEDORA	AU	9923879938401921	oai:bir.brandeis.edu:10192/28992"
"FEDORA	AU	9923879939101921	oai:bir.brandeis.edu:10192/31050"
"FEDORA	AU	9923879939401921	oai:bir.brandeis.edu:10192/23881"
"FEDORA	AU	9923879940101921	oai:bir.brandeis.edu:10192/30596"
"FEDORA	AU	9923879940301921	oai:bir.brandeis.edu:10192/24259"
"FEDORA	AU	9923879940401921	oai:bir.brandeis.edu:10192/13"
"FEDORA	AU	9923879940501921	oai:bir.brandeis.edu:10192/16"
"FEDORA	AU	9923879941201921	oai:bir.brandeis.edu:10192/32252"
"FEDORA	AU	9923879941401921	oai:bir.brandeis.edu:10192/27170"
"FEDORA	AU	9923879941801921	oai:bir.brandeis.edu:10192/32261"
"FEDORA	AU	9923879942701921	oai:bir.brandeis.edu:10192/28574"
"FEDORA	AU	9923879944901921	oai:bir.brandeis.edu:10192/25092"
"FEDORA	AU	9923879945601921	oai:bir.brandeis.edu:10192/32372"
"FEDORA	AU	9923879945701921	oai:bir.brandeis.edu:10192/32374"
"FEDORA	AU	9923879946201921	oai:bir.brandeis.edu:10192/23917"
"FEDORA	AU	9923879946301921	oai:bir.brandeis.edu:10192/24420"
"FEDORA	AU	9923879946401921	oai:bir.brandeis.edu:10192/25230"
"FEDORA	AU	9923879948101921	oai:bir.brandeis.edu:10192/24532"
"FEDORA	AU	9923879948401921	oai:bir.brandeis.edu:10192/24365"
"FEDORA	AU	9923879948501921	oai:bir.brandeis.edu:10192/24059"
"FEDORA	AU	9923879948701921	oai:bir.brandeis.edu:10192/31815"
"FEDORA	AU	9923879949201921	oai:bir.brandeis.edu:10192/30572"
"FEDORA	AU	9923879950401921	oai:bir.brandeis.edu:10192/32272"
"FEDORA	AU	9923879951001921	oai:bir.brandeis.edu:10192/25094"
"FEDORA	AU	9923879951501921	oai:bir.brandeis.edu:10192/24389"
"FEDORA	AU	9923879952001921	oai:bir.brandeis.edu:10192/25154"
"FEDORA	AU	9923879952101921	oai:bir.brandeis.edu:10192/32288"
"FEDORA	AU	9923879952801921	oai:bir.brandeis.edu:10192/25157"
"FEDORA	AU	9923879954001921	oai:bir.brandeis.edu:10192/33902"
"FEDORA	AU	9923879954201921	oai:bir.brandeis.edu:10192/24062"
"FEDORA	AU	9923879954501921	oai:bir.brandeis.edu:10192/24711"
"FEDORA	AU	9923879954601921	oai:bir.brandeis.edu:10192/32277"
"FEDORA	AU	9923879955801921	oai:bir.brandeis.edu:10192/30590"
"FEDORA	AU	9923879955901921	oai:bir.brandeis.edu:10192/24060"
"FEDORA	AU	9923879957201921	oai:bir.brandeis.edu:10192/27241"
