assetID, owningItem, assetFileID, timestamp, countrycode, ip,,,,,,
oai:bir.brandeis.edu:10192/32361,38399, PDF-1,1594893875, ZA,105.27.171.94,,,,,,
oai:bir.brandeis.edu:10192/27050,30665, PDF-1,1602039980, ZA,105.8.4.114,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1595741814, ZA,105.8.6.215,,,,,,
https://hdl.handle.net/10192/36652,45695, PDF-1,1595999538, ZA,105.8.6.43,,,,,,
oai:bir.brandeis.edu:10192/30680,34846, PDF-1,1599081303, ZA,105.9.105.33,,,,,,
oai:bir.brandeis.edu:10192/33873,40639, PDF-1,1584237279, ZA,105.9.178.109,,,,,,
oai:bir.brandeis.edu:10192/24257,25011, PDF-1,1598643847, ZA,141.0.12.249,,,,,,
oai:bir.brandeis.edu:10192/32333,38593, PDF-1,1601537889, ZA,146.64.81.112,,,,,,
oai:bir.brandeis.edu:10192/32333,38593, PDF-1,1601368296, ZA,146.64.81.113,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1596075788, ZA,154.117.159.190,,,,,,
https://hdl.handle.net/10192/36273,44696, PDF-1,1600804546, ZA,154.16.252.224,,,,,,
https://hdl.handle.net/10192/36128,44551, PDF-1,1602175744, ZA,154.16.252.224,,,,,,
https://hdl.handle.net/10192/36142,44565, PDF-1,1597988696, ZA,154.16.253.47,,,,,,
https://hdl.handle.net/10192/36403,44926, PDF-1,1597989730, ZA,154.16.253.47,,,,,,
oai:bir.brandeis.edu:10192/27271,30875, PDF-1,1598111438, ZA,154.16.253.47,,,,,,
oai:bir.brandeis.edu:10192/34810,42176, PDF-1,1598378136, ZA,154.16.253.47,,,,,,
https://hdl.handle.net/10192/36195,44618, PDF-1,1593887847, ZA,154.16.253.47,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1601613989, ZA,154.72.10.27,,,,,,
oai:bir.brandeis.edu:10192/35655,43175, PDF-1,1591516814, ZA,155.93.141.62,,,,,,
oai:bir.brandeis.edu:10192/25120,27546, PDF-1,1599118255, ZA,156.155.152.250,,,,,,
oai:bir.brandeis.edu:10192/25120,27546, PDF-1,1599033043, ZA,156.155.152.250,,,,,,
oai:bir.brandeis.edu:10192/27094,30394, PDF-1,1593928333, ZA,156.231.33.180,,,,,,
oai:bir.brandeis.edu:10192/27094,30394, PDF-1,1593928381, ZA,156.231.33.180,,,,,,
oai:bir.brandeis.edu:10192/27094,30394, PDF-1,1593928407, ZA,156.231.33.180,,,,,,
oai:bir.brandeis.edu:10192/27094,30394, PDF-1,1593928443, ZA,156.231.33.180,,,,,,
oai:bir.brandeis.edu:10192/27094,30394, PDF-1,1593928469, ZA,156.231.33.180,,,,,,
oai:bir.brandeis.edu:10192/35656,43176, PDF-1,1595990964, ZA,156.38.2.47,,,,,,
oai:bir.brandeis.edu:10192/35395,42695, PDF-1,1602168701, ZA,160.19.235.117,,,,,,
https://hdl.handle.net/10192/36762,45427, PDF-1,1600605507, ZA,160.226.153.13,,,,,,
oai:bir.brandeis.edu:10192/33877,40358, PDF-1,1597812836, ZA,164.151.5.19,,,,,,
https://hdl.handle.net/10192/36659,45916, PDF-1,1600682113, ZA,165.0.100.233,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1583907841, ZA,168.142.192.63,,,,,,
oai:bir.brandeis.edu:10192/24059,24791, PDF-1,1601214090, ZA,169.0.128.177,,,,,,
oai:bir.brandeis.edu:10192/24059,24791, PDF-1,1601228317, ZA,169.0.128.177,,,,,,
oai:bir.brandeis.edu:10192/25053,26164, PDF-1,1584598713, ZA,169.0.200.128,,,,,,
oai:bir.brandeis.edu:10192/25053,26164, PDF-1,1584514089, ZA,169.0.202.3,,,,,,
oai:bir.brandeis.edu:10192/30587,34406, PDF-1,1602170652, ZA,169.0.79.55,,,,,,
oai:bir.brandeis.edu:10192/23882,24416, PDF-1,1595345345, ZA,169.239.222.222,,,,,,
oai:bir.brandeis.edu:10192/23882,24416, PDF-1,1595383483, ZA,169.239.222.222,,,,,,
oai:bir.brandeis.edu:10192/24533,26021, PDF-1,1601343718, ZA,185.26.180.126,,,,,,
oai:bir.brandeis.edu:10192/23301,23728, PDF-1,1600400782, ZA,192.142.176.26,,,,,,
